star,teff,tefferr,logg,loggerr,feh,feherr,vt,vterr
BD -11 4672,4553,75,4.87,0.51,-0.30,0.02,0.14,0.07
BD +49 828,5015,36,2.87,0.9,-0.01,0.03,1.48,0.04
GJ 785,5087,48,4.42,0.10,-0.01,0.03,0.69,0.10
HATS-1,5969,46,4.39,0.6,-0.04,0.04,1.06,0.08
HATS-5,5383,91,4.41,0.22,0.08,0.06,0.91,0.14
HAT-P-12,4642,106,4.53,0.27,-0.26,0.06,0.28,0.63
HAT-P-24,6470,181,4.33,0.27,-0.41,0.10,1.40,0.03
HAT-P-39,6745,236,4.39,0.47,-0.21,0.12,1.53,0.04
HAT-P-42,5903,66,4.29,0.10,0.34,0.05,1.19,0.08
HAT-P-46,6421,121,4.53,0.14,0.16,0.09,1.67,0.18
HD 120084,4969,40,2.94,0.14,0.12,0.03,1.41,0.04
HD 192263,4946,46,4.61,0.14,-0.05,0.02,0.66,0.12
HD 219134,4767,70,4.57,0.17,0.00,0.04,0.59,0.24
HD 220842,5999,39,4.30,0.60,-0.08,0.03,1.21,0.05
HD 233604,4954,46,2.86,0.11,-0.14,0.04,1.61,0.05
HD 283668,4841,73,4.51,0.18,-0.74,0.04,0.16,0.61
HD 285507,4620,126,4.72,0.61,0.04,0.06,0.74,0.43
HD 5583,4986,35,2.87,0.9,-0.35,0.03,1.62,0.04
HD 81688,4903,21,2.70,0.5,-0.21,0.02,1.54,0.02
HD 82886,5123,18,3.30,0.4,-0.25,0.01,1.16,0.02
HD 87883,4917,68,4.53,0.19,0.02,0.03,0.46,0.21
HIP 107773,4957,49,2.83,0.9,0.04,0.04,1.49,0.05
HIP 11915,5770,14,4.33,0.3,-0.06,0.01,0.95,0.02
HIP 116454,5042,72,4.69,0.15,-0.16,0.03,0.71,0.17
HR 228,5042,42,3.30,0.9,0.07,0.03,1.14,0.04
KELT-6,6246,88,4.22,0.9,-0.22,0.06,1.66,0.13
Kepler-37,5378,53,4.47,0.12,-0.23,0.04,0.58,0.13
Kepler-444,5111,43,4.50,0.13,-0.51,0.03,0.37,0.15
mu Leo,4605,94,2.61,0.26,0.25,0.06,1.64,0.11
ome Ser,4928,35,2.69,0.6,-0.11,0.03,1.55,0.04
omi UMa,5499,52,3.36,0.7,-0.01,0.05,1.98,0.06
Qatar-2,4637,316,4.53,0.62,0.09,0.17,0.63,0.83
SAND364,4457,104,2.26,0.20,-0.04,0.06,1.60,0.11
TYC+1422-614-1,4908,41,2.90,0.12,-0.07,0.03,1.57,0.05
WASP-37,5917,72,4.25,0.15,-0.23,0.05,0.59,0.13
WASP-44,5612,80,4.39,0.30,0.17,0.06,1.32,0.13
WASP-52,5197,83,4.55,0.30,0.15,0.05,1.16,0.14
WASP-58,6039,55,4.23,0.10,-0.09,0.04,1.12,0.08
WASP-61,6265,168,4.21,0.21,-0.38,0.11,1.44,0.02
WASP-72,6570,85,4.25,0.13,0.15,0.06,2.30,0.15
WASP-73,6203,32,4.16,0.6,0.20,0.02,1.66,0.04
WASP-75,6203,46,4.42,0.22,0.24,0.03,1.45,0.06
WASP-76,6347,52,4.29,0.8,0.36,0.04,1.73,0.06
WASP-82,6563,55,4.29,0.10,0.18,0.04,1.93,0.08
WASP-88,6450,61,4.24,0.6,0.03,0.04,1.79,0.09
WASP-94 A,6259,34,4.34,0.7,0.35,0.03,1.50,0.04
WASP-94 B,6137,21,4.42,0.5,0.33,0.02,1.29,0.03
WASP-95,5799,31,4.29,0.5,0.22,0.03,1.18,0.04
WASP-97,5723,52,4.24,0.70,0.31,0.04,1.03,0.08
WASP-99,6324,89,4.34,0.12,0.27,0.06,1.83,0.12
WASP-100,6853,209,4.15,0.26,-0.30,0.12,1.87,0.02
